quenya,english,eldamo-link,other-links,word-keys
Mólë tyarnë i olanenyë turka.,Work caused me to become strong [= that I became strong].,8.1,,
Mára kardalya tulyauva lyen alassë (or more simply tulyuva).,Your good deed will bring you happiness.,8.1,,
Naukoli ranker i orkoron makili.,Some dwarves broke the orcs’ swords.,8.1,,
Aiwi atambanier aldassen mí taurë.,Birds have knocked on trees in the forest.,8.1,,
Rokkor tukuvar lintë i raxa.,Horses will pull the wagon swift[ly].,8.1,,
I sírë kúna pella i osto.,The river bends beyond the city.,8.1,,
Man melilyë?,Who do you love?,8.2,,
Ma i elda rëantë?,Did the elf smile?,8.2,,
Ma mikuvalyë ni?,Will you kiss me?,8.2,,
Massë i netti tyálar?,Where are the girls playing?,8.2,,
Manen polin fasta i aran?,How can I please the king?,8.2,,
Ma i atani alassië?,Are the men happy?,8.2,,
Mana hanquentalya?,What is your answer?,8.2,,
Man lálëa?,Who is laughing?,8.2,,
Ma nántë avaldë?,Are they excited?,8.2,,
Mallo i orkor túler?,Where did the orcs come from?,8.2,,
Ma kenuvalyë i hesto?,Will you see the captain?,8.2,,
Ma merilyë tirë i ohtari?,Do you want to watch the warriors?,8.2,,
Orkor ruhtaner i taurëo periandi.,Orcs terrified the forest’s halflings.,8.3,,
Soronyentë i orkor merner nahta te.,They were afraid that orcs wanted to slay them.,8.3,,
Orkor tevir periandi ar naukor ar eldar ar atani.,Orcs hate halflings and dwarves and elves and men.,8.3,,
Hrávë orkor marner rottossen nu i oronti.,Wild orcs dwelled in caves under the mountains.,8.3,,
Nwalmë periandion fastanë i orkor.,Torment of halflings pleased the orcs.,8.3,,
I periandi nainaner umbartinta.,The halflings lamented their fate.,8.3,,
Naikë ui ruhta naukor.,Pain does not terrify dwarves.,8.3,,
Raiquë naukor faraner orkor i tauressë.,Angry dwarves hunted orcs in the forest.,8.3,,
I orkor yarraner sossessë.,The orcs growled in fear.,8.3,,
Aha i naukoron nánë turwa.,The rage of the dwarves was powerful.,8.3,,
I eldar náner nairië i mahtië quantanë i taurë.,The elves were sorrowful that fighting filled the forest.,8.3,,
Nier i eldaron sirinyer ve síri.,The tears of the elves flowed like rivers.,8.3,,
I harma-antaila aran alya.,The treasure-giving king [is] rich.,9.1,,
Mankaimë armar mirwë.,Tradeable goods [are] precious.,9.1,,
I telpë-samila nauko ui penya.,The silver-having dwarf is not poor.,9.1,,
Orkor merir tuvë lépima harma.,Orcs want to find takeable treasure.,9.1,,
I mapinë makili vanwë.,The seized swords [are] lost.,9.1,,
I ohtari norner minna i lantaina ando.,The warriors ran into the fallen gate.,9.1,,
I antaula perian penë telpë sí.,The generous (prone to give) halfling lacks money now.,9.1,,
I kavaitë mahar harë i köassë.,The receptive (able to receive) merchant sits in the house.,9.1,,
Ilyë mahtailë ohtari qualuvar.,All fighting warriors will die.,9.1,,
I kavinë annar rehtaner i nettion alassë.,The received gifts saved the girls’ happiness.,9.1,,
I eldar antaner i lepinë armar i heston.,The elves gave the taken goods to the captain.,9.1,,
I lepilë atani hander i mindonessë.,The taking men stayed (= sat) in the tower.,9.1,,
Hrisë.,[It] snows.,9.2,,
Kantë i kirma.,Made the knife = the knife was made.,9.2,,
Mo namba taxi yá mo karasta köa.,One hammers nails when one builds a house.,9.2,,
Tammar katinë taminwen.,Tools [are] shaped with a forge.,9.2,,
Ulë.,It rains.,9.2,,
Mo katë makil kurwenen.,One fashions a sword with craft.,9.2,,
I emma nánë takina i aldassë taxenen.,The picture was fastened on the wall with a nail.,9.2,,
Orë i tamon karita makil.,The smith feels an urge to make a sword.,9.2,,
I nís sernë linta i laupë.,The woman sewed swift[ly] the shirt.,9.3,,
I periandi koller i korma andavë.,The halflings bore the ring long [for a long time].,9.3,,
I eldar autuvar Endorello rongo.,The elves will depart from Middle-earth soon.,9.3,,
I mai karina vakko nánë hirina i rottossë.,The well made jacket was found in the cave.,9.3,,
I rokko nornë linta.,The horse ran swift[ly].,9.3,,
I rokko nornë lintië.,The horse ran swiftly [= with swiftness].,9.3,,
I rokko nornë andavë.,The horse ran long.,9.3,,
I rokko nornë mai.,The horse ran well.,9.3,,
I súrë ringa lá nöa.,The wind [is] cold beyond yesterday [= is colder than yesterday].,9.4,,
I kirma ammaika.,The knife [is] very sharp.,9.4,,
I kollo ammussë hampion.,The cloak [is] very soft among clothing.,9.4,,
Mithril arnorna tinkoron.,Mithril [is the] hardest [most hard] of metals.,9.4,,
I nauko anfinwa.,The dwarf is very clever.,9.4,,
I atan finwa lá i nauko.,The man is more clever than the dwarf.,9.4,,
I elda anfinwa quenion.,The elf is very clever among people.,9.4,,
I istar arfinwa ilyaron.,The wizard [istar] is most clever of all.,9.4,,
Massë i asëa i asarta yuhtanë i naukon?,Where [is] the healing herb which the doctor used on [for] the dwarf?,10.1,,
I atani i túler i ostonna tárar i andossë.,The men who came to the city are standing in the gate.,10.1,,
I kirma yanen i hesto harnanë i elda nánë hirina nu i alda.,The knife with which the captain wounded the elf was found under the tree.,10.1,,
I asarta yen quentel nöa hasuva i nauko.,The doctor to whom you spoke yesterday will treat the dwarf.,10.1,,
Á hirë i atan ó ye i elda lendë.,Find the man with whom the elf travelled.,10.1,,
Késan i köan yassë i elda marë.,I am searching for (ces-[þ] + dative) the house in which the elf dwells.,10.1,,
Á tana nin i atan i samë i makil or á tana nin i atan sa samë i makil.,Show me the man who has the sword.,10.1,,
Istan i samil i hestova makil.,I know that you have the captain’s sword.,10.1,,
I nís marë tassë.,The woman lives there.,10.2,,
Ma meril nin anta si lyen?,Do you want for me to give this to you?,10.2,,
Á latya tana fendë.,Open that door.,10.2,,
Kenuvanyes en.,I will see him/her then [future].,10.2,,
I nér tára enta ambossë.,The man [male] is standing on yonder hill.,10.2,,
Samin sinë kirmar.,I have these knives.,10.2,,
Ma antuval nin ta?,Will you give me that?,10.2,,
Merinyes sí or Merin sa sí.,I want it now.,10.2,,
Poituvan imni.,I will clean myself.,10.3,,
Hirnexë tauressë.,He/she found himself/herself in a forest.,10.3,,
Sampentë assa i ambossë.,They dug a hole in the hill.,10.3,,
Makil ve anda kirma (ná).,A sword [is] like a long knife.,10.3,,
Á rehta intyë!,Save yourself (familiar)!,10.3,,
Kestanexer manna i hesto mennë.,They asked themselves where [whither] the captain went.,10.3,,
I netti tarner rindessë.,The girls stood in a circle.,10.3,,
Ná imya atan.,It is the same man.,10.3,,
Istas quetë Quenya.,He/she can (knows how to) speak Quenya.,10.4,,
Polis mahta.,He/she can (is physically able to) fight.,10.4,,
Lertas quetë i aranen.,He/she may (is free to) speak to the king.,10.4,,
Mauya sen quetë i aranen.,He/she must (is compelled to) speak to the king.,10.4,,
