quenya,english,type,eldamo-link,other-links
únótima,"numberless, (lit.) uncountable",adj,8.4,
yén,Elvish long year (144 solar years),n,8.4,
alya,"rich, prosperous",adj,9.1.5,
anna,gift,n,9.1.5,
anta-,to give,v,9.1.5,
armar,goods (pl.),n,9.1.5,
kav-,to receive,v,9.1.5,
harma,treasure,n,9.1.5,
lep-,to take,v,9.1.5,
mahar,"tradesman, merchant",n,9.1.5,
manka-,to trade,v,9.1.5,
mapa-,"to grasp, seize",v,9.1.5,
mirwa,"precious, valuable",adj,9.1.5,
net-,to get,v,9.1.5,
pen-,"not to have, lack",v,9.1.5,
penya,"lacking, poor",adj,9.1.5,
sam-,to have,v,9.1.5,
telpë,"silver, money",n,9.1.5,
kat-,"to shape, fashion",v,9.2.4,
karasta-,to build,v,9.2.4,
kirma,knife,n,9.2.4,
kurwë,"craft, skill (of the hand)",n,9.2.4,
emma,picture,n,9.2.4,
namba,hammer,n,9.2.4,
namba-,to hammer,v,9.2.4,
tak-,to fasten,v,9.2.4,
tanka,"firm, fixed, sure",adj,9.2.4,
tamma,tool,n,9.2.4,
tamo,"smith,, builder",n,9.2.4,
taxë,nail,n,9.2.4,
tamin,forge,n,9.2.4,
aqua,"fully, completely",adv,9.3.2,
ké,"maybe, possibly",adv,9.3.2,
en,yonder; then (future),adv,9.3.2,
né,ago,adv,9.3.2,
mai,well,adv,9.3.2,
néya,"once, at one time",adv,9.3.2,
öa,away,adv,9.3.2,
rië,only,adv,9.3.2,
ron(go),soon,adv,9.3.2,
sí,now,adv,9.3.2,
tá,then (past),adv,9.3.2,
kol-,"to carry, bear, wear",v,9.3.2,
kollo,cloak,n,9.3.2,
korma,ring,n,9.3.2,
hampë,clothing,n,9.3.2,
hyapat,shoe,n,9.3.2,
lapuë,shirt,n,9.3.2,
mírë,"jewel, gem",n,9.3.2,
quilta,belt,n,9.3.2,
serindë,seamstress,n,9.3.2,
ser-,to sew,v,9.3.2,
tankal,brooch,n,9.3.2,
vakko,jacket,n,9.3.2,
amanya,blessed,adj,9.4.4,
arya,"excelling, better",adj,9.4.4,
kólima,"light, bearable",adj,9.4.4,
finwa,"dexterous, clever",adj,9.4.4,
helka,icy,adj,9.4.4,
lauka,warm,adj,9.4.4,
lungo (lungu-),heavy,adj,9.4.4,
maika,sharp,adj,9.4.4,
mussë,soft,adj,9.4.4,
nenda,wet,adj,9.4.4,
norna,"hard, tough",adj,9.4.4,
parka,dry,adj,9.4.4,
pasta,smooth,adj,9.4.4,
poika,"clean, pure",adj,9.4.4,
poita-,to clean,v,9.4.4,
ringa,cold,adj,9.4.4,
ringë (ringi-),cold,n,9.4.4,
vára,dirty,adj,9.4.4,
úra,hot (unpleasantly),adj,9.4.4,
úrë,heat,n,9.4.4,
anarya,sunday,n,9.5.1,
isilya,monday; moon-day,n,9.5.1,
aldúya,tuesday; trees-day,n,9.5.1,
menelya,wednesday; heavens-day,n,9.5.1,
eärenya,thursday; sea-day (not in Elvish week),n,9.5.1,
valanya,friday; vala-day,n,9.5.1,
elenya,saturday; star-day,n,9.5.1,
narvinyë,january; new-fire,n,9.5.2,
nénimë,fecruary; wetness,n,9.5.2,
súlimë,march; windy,n,9.5.2,
víressë,april; freshness,n,9.5.2,
lótessë,may; flowery,n,9.5.2,
nárië,june; firey,n,9.5.2,
kermië,july; earthy,n,9.5.2,
úrimë,august; hotness,n,9.5.2,
yavannië,september; yavanna-ness,n,9.5.2,
narquelië,october; sun-fading,n,9.5.2,
hísimë,november; misty,n,9.5.2,
ringarë,december; coldness,n,9.5.2,
tuilë,"spring, budding",n,9.5.3,
lairë,summer,n,9.5.3,
yávië,"autumn, harves",n,9.5.3,
quellë,"late autumn, fading",n,9.5.3,
hrívë,winter,n,9.5.3,
koirë,"early spring, stirring",n,9.5.3,
as,with,prep,9.6,
aistana,blessed,adj,9.6,
heru,lord,n,9.6,
imíka,among,prep,9.6,
móna,womb,n,9.6,
asarta,doctor,n,10.1.3,
asëa,healing herb,n,10.1.3,
engwa,sickly,adj,10.1.3,
hlaiwa,sick,adj,10.1.3,
hlívë,sickness,n,10.1.3,
harna-,to wound,v,10.1.3,
hasa-,"to treat, cure",v,10.1.3,
limpa,"frail, weak",adj,10.1.3,
lumba,weary,adj,10.1.3,
málë,good health,n,10.1.3,
turka,strong (physically),adj,10.1.3,
sissë,here,adv,10.2.2,
tassë,there,adv,10.2.2,
sinomë,"here, this place",adv,10.2.2,
tanomë,"there, that place",adv,10.2.2,
sinna,to here,adv,10.2.2,
tanna,to there,adv,10.2.2,
sir(a),hither,adv,10.2.2,
tar(a),thither,adv,10.2.2,
silo,"hence, from here",adv,10.2.2,
talo,"thence, from there",adv,10.2.2,
sinen,by this means,adv,10.2.2,
tanen,in that way,adv,10.2.2,
sillë,like this,adv,10.2.2,
tallë,like that,adv,10.2.2,
sítë,of this sort,adv,10.2.2,
taitë,of that sort,adv,10.2.2,
sívë,"as, this like",prep,10.2.2,
tambë,"so, that like",prep,10.2.2,
tama,that matter,pron,10.2.2,
ampano,building,n,10.2.3,
kalma,lamp,n,10.2.3,
kaima,bed,n,10.2.3,
köa,house,n,10.2.3,
fendë,door,n,10.2.3,
hanwa,chair,n,10.2.3,
mar-,"to live, dwell",v,10.2.3,
már (mar-),home,n,10.2.3,
paluhta,table,n,10.2.3,
ramba,wall,n,10.2.3,
sambë,room,n,10.2.3,
tópa,roof,n,10.2.3,
imni,myself,pron,10.3.1,
intyë,yourself (familiar),pron,10.3.1,
imlë,yourself (polite),pron,10.3.1,
insë,"himself, herself",pron,10.3.1,
insa,itself,pron,10.3.1,
immë,ourselves (exclusive),pron,10.3.1,
inwë,ourselves (inclusive),pron,10.3.1,
indë,yourselves,pron,10.3.1,
intë,themselves,pron,10.3.1,
-xë,he/she ... himself/herself,suf,10.3.2,
-xer,they ... themselves,suf,10.3.2,
-xet,they two ... themselves,suf,10.3.2,
ampa,hook,n,10.3.3,
assa,hole,n,10.3.3,
kanta,shape,n,10.3.3,
kantil,rectangle,n,10.3.3,
korna,round,n,10.3.3,
koron (korn-),"globe, ball",n,10.3.3,
imya,"same, identical",adj,10.3.3,
neltil,triangle,n,10.3.3,
rindë,circle,n,10.3.3,
téma,"series, row, line",n,10.3.3,
ve,"as, like",prep,10.3.3,
vëa,"seeming, apparent",adj,10.3.3,
véla,"alike, similar",adj,10.3.3,
virya-,to change,v,10.3.3,
vista-,to change (something),v,10.3.3,
pol-,"can, to be (physically) able to",v,10.4.1,
ista-,to know (how to),v,10.4.1,
lerta-,to be free (to do),v,10.4.1,
ek-,"may, might, to have a chance to (used impersonally)",v,10.4.1,
mauya-,to compel; must (used impersonally),v,10.4.1,
anga,iron,n,10.4.2,
kalka,glass,n,10.4.2,
kolka,box,n,10.4.2,
hempa,"cord, rope",n,10.4.2,
lannë,cloth,n,10.4.2,
malta,gold (metal),n,10.4.2,
ondo,"rock, stone (as material)",n,10.4.2,
poko,bag,n,10.4.2,
telpë,"silver, money",n,10.4.2,
tinko,metal,n,10.4.2,
tó,wool,n,10.4.2,
töa,wood (as material),n,10.4.2,
aranië,kingdom,n,10.5,
ëa,existence,n,10.5,
eruman,heaven,n,10.5,
han,beyond,prep,10.5,
indómë,will,n,10.5,
alasaila,unwise,adj,11.1.4,
enyal-,"to recall, remember",v,11.1.4,
finya,clever,adj,11.1.4,
handa,intelligent,adj,11.1.4,
hanya-,to understand,v,11.1.4,
inka,idea,n,11.1.4,
indo,(inner) mind the will,n,11.1.4,
induinen,purpose,n,11.1.4,
intya,"guess, notion",n,11.1.4,
intya-,to guess,v,11.1.4,
ista-,to know,v,11.1.4,
muina,secret,adj,11.1.4,
nem-,to seem,v,11.1.4,
nólë,"lore, knowledge",n,11.1.4,
órë,"heart (metaphorical), conscience",n,11.1.4,
par-,to learn,v,11.1.4,
saila,wise,adj,11.1.4,
sana-,to think,v,11.1.4,
sanar,"mind, thinker",n,11.1.4,
sanwë,thought,n,11.1.4,
sav-,to believe,v,11.1.4,
sinwa,"known, certain",adj,11.1.4,
aina,holy,adj,11.2.5,
ainas (ainass-),shrine,n,11.2.5,
ainu,"angel, holy spirit (m.)",n,11.2.5,
aini,"angel, holy spirit (f.)",n,11.2.5,
airë (airi-),holiness; holy,"n, adj",11.2.5,
kuruni,witch,n,11.2.5,
eru,"the one, god",n,11.2.5,
fairë,"spirit, phantom",n,11.2.5,
fëa,"spirit, soul",n,11.2.5,
húna,acursed,adj,11.2.5,
húta-,to curse,v,11.2.5,
hyam-,to pray,v,11.2.5,
lúkë,"enchantment, magic",n,11.2.5,
mána,blessing,n,11.2.5,
násië,"amen, may it be so",interj,11.2.5,
núlë,sorcery,n,11.2.5,
rauko,demon,n,11.2.5,
sairon,wizard,n,11.2.5,
umbar (umbart-),"fate, doom",n,11.2.5,
aran,king,n,11.3.8,
aranel,princess,n,11.3.8,
arda,"realm, world",n,11.3.8,
kundo (kundu-),prince,n,11.3.8,
heri,lady,n,11.3.8,
heru,lord,n,11.3.8,
heru-,to rule,v,11.3.8,
hildë (hildi-),"heir, follower",n,11.3.8,
mól,slave,n,11.3.8,
núro,servant,n,11.3.8,
omentië,meeting,n,11.3.8,
tári,queen,n,11.3.8,
kaimasan (kaimasamb-),bedroom,n,11.3.8,
filit (filik-),"sparrow, small bird",n,11.3.8,
hiswa,grey (of weather),adj,11.3.8,
hó,owl,n,11.3.8,
imbilat,deep valley,n,11.3.8,
líndë (lindi-),"singing, musical sound",n,11.3.8,
lós,inflorescence,n,11.3.8,
mal (malu-),"pollen, yellow powder",n,11.3.8,
luppo (luppu-),lump,n,11.3.8,
pí,small insect,n,11.3.8,
sú,sound of wind,n,11.3.8,
tirion,watch tower,n,11.3.8,
tyalië,"play, mirth",n,11.3.8,
